test_id,estimator,estimate,se,lb,ub,switchers,stayers,placebo_idx,notes
A01,aoss,-.001481275306625,.0026346183056358,-.0066451271856712,.0036825765724212,384,1248,0,
A01,waoss,-.0038867078394146,.0009432850902898,-.0057355466163825,-.0020378690624466,384,1248,0,
A02,aoss,-.0014921862192994,.006515636440346,-.0142628336423776,.0112784612037788,1892880161,6337742162,0,
A02,aoss,.0006002869538035,.0027816616834434,-.0048517699457456,.0060523438533527,697828820,4695910438,1,
A03,aoss,-.001481275306625,.0026346183056358,-.0066451271856712,.0036825765724212,384,1248,0,
A03,waoss,-.0038867078394146,.0009432850902898,-.0057355466163825,-.0020378690624466,384,1248,0,
A03,aoss,.0014082304494022,.0029146479364795,-.0043044795060976,.007120940404902,178,881,1,
A03,waoss,-.0003292517291904,.0013763685223075,-.0030269340329132,.0023684305745323,178,881,1,
A03,diff_as_was,.,.,.,.,.,.,0,as_vs_was_test
A04,aoss,-.0010794077695963,.00266580692428,-.0063043893411851,.0041455738019925,384,1248,0,
A04,waoss,-.00380950699079,.0010495392562707,-.0058666039330807,-.0017524100484994,384,1248,0,
A04,aoss,.0014758674174322,.0033304599287007,-.0050518340428211,.0080035688776856,178,881,1,
A04,waoss,-.0003056267049515,.0014156455828921,-.00308029204742,.002469038637517,178,881,1,
A04,diff_as_was,.,.,.,.,.,.,0,as_vs_was_test
A05,aoss,.000823330631707,.0022468044894315,-.0035804061675786,.0052270674309927,384,1248,0,
A05,waoss,.0053561332546081,.0009179528159758,.0035569457352955,.0071553207739207,384,1248,0,
A05,aoss,.0005692501003965,.005912396010403,-.0110190460799933,.0121575462807863,178,881,1,
A05,waoss,.0019711915666348,.0016102533892556,-.0011849050763062,.0051272882095758,178,881,1,
A05,diff_as_was,.,.,.,.,.,.,0,as_vs_was_test
A06,aoss,.0004468699736761,.0023833358752933,-.0042244683418987,.005118208289251,384,1248,0,
A06,waoss,.0050046985496345,.0008753311772195,.0032890494422843,.0067203476569847,384,1248,0,
A06,aoss,.0003033613753331,.0057350032707114,-.0109372450352611,.0115439677859274,178,881,1,
A06,waoss,.0013610122356786,.0016263927067009,-.0018267174694551,.0045487419408123,178,881,1,
A06,diff_as_was,.,.,.,.,.,.,0,as_vs_was_test
A07,ivwaoss,.,.,.,.,.,.,0,
A08,ivwaoss,.,.,.,.,.,.,0,
A09,aoss,-.001479604234858,.0029424024852839,-.0072467131060145,.0042875046362986,1777.744,5586.059999999999,0,
A09,waoss,-.00376814419803,.0009857008907915,-.0057001179439814,-.0018361704520787,1777.744,5586.059999999999,0,
A09,aoss,.0016810481409459,.0034422138648976,-.0050656910342535,.0084277873161452,794.044,3959.387000000001,1,
A09,waoss,-.0001756895162421,.001521724531299,-.0031582695975883,.002806890565104,794.044,3959.387000000001,1,
A10,aoss,-6.804586638841197,4.21459946523553,-15.06520159070284,1.456028313020441,687247011,2331956498,0,
A10,waoss,-3.675773296644644,3.045562958453267,-9.645076695213048,2.293530101923759,687247011,2331956498,0,
A10,aoss,-.06103155265989,.0435816760213429,-.146451637661722,.024388532341942,432273394,1876731476,1,
A10,waoss,-.0785660050534581,.068479937760172,-.2127866830633952,.0556546729564789,432273394,1876731476,1,
A11,waoss,-.0038867078394146,.0009432850902898,-.0057355466163825,-.0020378690624466,384,1248,0,
A11,waoss,-.0003292517291904,.0013763685223075,-.0030269340329132,.0023684305745323,178,881,1,
A12,waoss,-.0038251315156014,.0010489283784139,-.0058810311372925,-.0017692318939102,346,1248,0,
A13,waoss,-.0040649685626161,.0021235127256646,-.0082270535049187,.0000971163796866,38,612,0,
B01,aoss,-.0013837795955916,.0028082150155262,-.006887881026023,.0041203218348398,384,1248,0,
B01,waoss,-.0037562584903173,.0010186803177899,-.0057528719131854,-.0017596450674491,384,1248,0,
B01,aoss,.0016807848332971,.0031090359954361,-.0044129257177576,.0077744953843519,178,881,1,
B01,waoss,.0000587432904747,.0014493122995053,-.0027819088165556,.0028993953975051,178,881,1,
B01,aoss,-.0010693138296267,.0031538722522781,-.0072509034440917,.0051122757848384,200,759,2,
B01,waoss,-.0005911428791839,.0009620687070765,-.0024767975450538,.001294511786686,200,759,2,
B01,aoss,-.0002238260799389,.0022820817326091,-.0046967062758526,.0042490541159749,234,853,3,
B01,waoss,-.0004444934132673,.0010837875470935,-.0025687170055705,.0016797301790359,234,853,3,
B01,diff_as_was,.,.,.,.,.,.,0,as_vs_was_test
B02,aoss,-.0005686555780497,.0032146633339128,-.0068693957125187,.0057320845564193,384,1248,0,
B02,waoss,-.003402890700129,.0010886815007808,-.0055367064416593,-.0012690749585987,384,1248,0,
B02,aoss,.0017290820144095,.0036251911793941,-.005376292697203,.008834456726022,178,881,1,
B02,waoss,-.0005532974076176,.0015215064238981,-.0035354499984579,.0024288551832226,178,881,1,
B02,diff_as_was,.,.,.,.,.,.,0,as_vs_was_test
B03,aoss,.0011012407855727,.0023840494974557,-.0035714962294405,.0057739778005858,384,1248,0,
B03,waoss,.0056595888297162,.0009041245616066,.0038875046889673,.0074316729704651,384,1248,0,
B03,aoss,-.0001473710305282,.0052156748701501,-.0103700937760224,.0100753517149661,178,881,1,
B03,waoss,.0010540586012217,.0014717906417532,-.0018306510566145,.003938768259058,178,881,1,
B03,diff_as_was,.,.,.,.,.,.,0,as_vs_was_test
B04,aoss,.0010119389828214,.0024347003754735,-.0037600737531066,.0057839517187494,384,1248,0,
B04,waoss,.0055552888822336,.0008275492509662,.0039332923503398,.0071772854141274,384,1248,0,
B04,aoss,-.000026765633072,.0050292089263832,-.009884015128783,.0098304838626391,178,881,1,
B04,waoss,.0008263043591193,.0016640449892913,-.0024352238198916,.0040878325381303,178,881,1,
B04,diff_as_was,.,.,.,.,.,.,0,as_vs_was_test
B05,ivwaoss,.,.,.,.,.,.,0,
B06,ivwaoss,.,.,.,.,.,.,0,
B07,waoss,-.0037562584903173,.0010454695497529,-.0058053788078329,-.0017071381728017,384,1248,0,
B07,waoss,.0000587432936304,.0012443809660773,-.0023802433998811,.0024977299871418,178,881,1,
B08,ivwaoss,.,.,.,.,.,.,0,SKIP_stata_ado_bug_innerSumIV
B09,waoss,-.0037562584903173,.0010186803177899,-.0057528719131854,-.0017596450674491,384,1248,0,
B10,aoss,-.0013837795955916,.0028082150155262,-.006887881026023,.0041203218348398,384,1248,0,
B11,waoss,-.0035075497888913,.0011219212762505,-.0057065154903423,-.0013085840874402,346,1248,0,
B12,waoss,-.0054937128440228,.0021587157120954,-.0097247956397299,-.0012626300483157,38,612,0,
B13,waoss,-.0033620442225188,.0010390449099713,-.0053985722460626,-.0013255161989751,355,1248,0,
B14,aoss,-.0171139364009801,.0041513117320535,-.0252505073958049,-.0089773654061553,232,539,0,
B14,waoss,-.0098871584424059,.0024471803488248,-.0146836319261024,-.0050906849587093,232,539,0,
B15,aoss,-.0020648226590304,.0063400752790654,-.0144913702059985,.0103617248879377,1892880161,6337742162,0,
B15,waoss,-.0016185921717143,.0007595541831959,-.0031073183707783,-.0001298659726504,1892880161,6337742162,0,
B16,waoss,-.0037562584903173,.0010186803177899,-.0057528719131854,-.0017596450674491,384,1248,0,
B17,waoss,-.0033138187996905,.0016573842235496,-.0065622918778477,-.0000653457215333,154,424,0,by_level1_DemGov0
B17_lev0,waoss,-.0033138187996905,.0016573842235496,-.0065622918778477,-.0000653457215333,154,424,0,info_DemGov0
B17_lev1,waoss,-.004760057254187,.0012256446442036,-.0071623207568262,-.0023577937515479,225,765,0,info_DemGov1
B18,waoss,-.0022733,.0008042,-.0038495,-.000697,158,886,0,by_fd_level2
B19,aoss,-.0013837795955916,.0028082150155262,-.006887881026023,.0041203218348398,384,1248,0,
B19,waoss,-.0037562584903173,.0010186803177899,-.0057528719131854,-.0017596450674491,384,1248,0,
B19,aoss,.0016807848332971,.0031090359954361,-.0044129257177576,.0077744953843519,178,881,1,
B19,waoss,.0000587432904747,.0014493122995053,-.0027819088165556,.0028993953975051,178,881,1,
B20,aoss,-.0013837795955916,.0028082150155262,-.006887881026023,.0041203218348398,384,1248,0,
B20,waoss,-.0037562584903173,.0010186803177899,-.0057528719131854,-.0017596450674491,384,1248,0,
B20,aoss,.0016807848332971,.0031090359954361,-.0044129257177576,.0077744953843519,178,881,1,
B20,waoss,.0000587432904747,.0014493122995053,-.0027819088165556,.0028993953975051,178,881,1,
B20,aoss,-.0010693138296267,.0031538722522781,-.0072509034440917,.0051122757848384,200,759,2,
B20,waoss,-.0005911428791839,.0009620687070765,-.0024767975450538,.001294511786686,200,759,2,
B21,aoss,-.0013837795955916,.0028082150155262,-.006887881026023,.0041203218348398,384,1248,0,
B21,waoss,-.0037562584903173,.0010186803177899,-.0057528719131854,-.0017596450674491,384,1248,0,
B21,aoss,.0016807848332971,.0031090359954361,-.0044129257177576,.0077744953843519,178,881,1,
B21,waoss,.0000587432904747,.0014493122995053,-.0027819088165556,.0028993953975051,178,881,1,
B21,aoss,-.0010693138296267,.0031538722522781,-.0072509034440917,.0051122757848384,200,759,2,
B21,waoss,-.0005911428791839,.0009620687070765,-.0024767975450538,.001294511786686,200,759,2,
B21,aoss,-.0002238260799389,.0022820817326091,-.0046967062758526,.0042490541159749,234,853,3,
B21,waoss,-.0004444934132673,.0010837875470935,-.0025687170055705,.0016797301790359,234,853,3,
B22,ivwaoss,.,.,.,.,.,.,0,SKIP_stata_ado_bug_innerSumIV
B22,ivwaoss,.,.,.,.,.,.,1,SKIP_stata_ado_bug_innerSumIV
B23,ivwaoss,.,.,.,.,.,.,0,SKIP_stata_ado_bug_innerSumIV
B23,ivwaoss,.,.,.,.,.,.,1,SKIP_stata_ado_bug_innerSumIV
B23,ivwaoss,.,.,.,.,.,.,2,SKIP_stata_ado_bug_innerSumIV
B23,ivwaoss,.,.,.,.,.,.,3,SKIP_stata_ado_bug_innerSumIV
C01,waoss,-.0038867078394146,.0009432850902898,-.0057355466163825,-.0020378690624466,384,1248,0,
C01,waoss,-.0003292517291904,.0013763685223075,-.0030269340329132,.0023684305745323,178,881,1,
C01,waoss,-.000160100947653,.000875654112839,-.0018763830088174,.0015561811135115,200,759,2,
C02,waoss,-.0038867078394146,.0009432850902898,-.0057355466163825,-.0020378690624466,384,1248,0,
C02,waoss,-.0003292517291904,.0013763685223075,-.0030269340329132,.0023684305745323,178,881,1,
C02,waoss,-.000160100947653,.000875654112839,-.0018763830088174,.0015561811135115,200,759,2,
C02,waoss,-.0011165558170133,.0010910628455834,-.0032550389943568,.0010219273603302,234,853,3,
C03,aoss,-.001481275306625,.0026346183056358,-.0066451271856712,.0036825765724212,384,1248,0,
C03,waoss,-.0038867078394146,.0009432850902898,-.0057355466163825,-.0020378690624466,384,1248,0,
C03,aoss,.0014082304494022,.0029146479364795,-.0043044795060976,.007120940404902,178,881,1,
C03,waoss,-.0003292517291904,.0013763685223075,-.0030269340329132,.0023684305745323,178,881,1,
C03,aoss,-.0009480184426208,.002846037350126,-.0065262516488678,.0046302147636261,200,759,2,
C03,waoss,-.000160100947653,.000875654112839,-.0018763830088174,.0015561811135115,200,759,2,
C03,aoss,-.0004876341944336,.0019880315088001,-.0043841759516818,.0034089075628145,234,853,3,
C03,waoss,-.0011165558170133,.0010910628455834,-.0032550389943568,.0010219273603302,234,853,3,
C03,diff_as_was,.,.,.,.,.,.,0,as_vs_was_test
D01,aoss,-.0014428593237885,.0026520877541762,-.0066409513219738,.0037552326743969,384,1248,0,
D01,waoss,-.0041613679032133,.0010551517353021,-.0062294653044053,-.0020932705020212,384,1248,0,
D02,aoss,-.0010546377265505,.0026290868099147,-.0062076478739834,.0040983724208823,384,1248,0,
D02,waoss,-.0036509752172337,.000942269668043,-.005497823766598,-.0018041266678694,384,1248,0,
D03,ivwaoss,.,.,.,.,.,.,0,SKIP_stata_ado_bug_innerSumIV
E01,ivwaoss,.,.,.,.,.,.,0,SKIP_stata_ado_bug_innerSumIV
E02,waoss,.,.,.,.,.,.,0,SKIP_bootstrap_only_ivwas_or_twfe
E03,ivwaoss,.,.,.,.,.,.,0,SKIP_stata_ado_bug_innerSumIV
F01,waoss,-.0038867078394146,.0009432850902898,-.0057355466163825,-.0020378690624466,384,1248,0,
F02,waoss,-.0037562584903173,.0010186803177899,-.0057528719131854,-.0017596450674491,384,1248,0,
F03,ivwaoss,.,.,.,.,.,.,0,SKIP_stata_twfe_syntax
G01,waoss,.,.,.,.,.,.,0,SKIP_stata_cv_convergence_crash
G02,waoss,.,.,.,.,.,.,0,SKIP_stata_cv_convergence_crash
G03,ivwaoss,.,.,.,.,.,.,0,SKIP_stata_cv_convergence_crash
H01,waoss,-.0042167536554125,.0009447045950539,-.0060683746617182,-.0023651326491068,384,1248,0,
H02,waoss,-.0038650310882473,.0010185128352815,-.0058613162453991,-.0018687459310956,384,1248,0,
H03,aoss,-.009702660562508,.0025229813256998,-.0146477039608797,-.0047576171641363,384,1248,0,
H03,waoss,-.0048051218113385,.0009487972404187,-.0066647644025592,-.0029454792201178,384,1248,0,
H03,diff_as_was,.,.,.,.,.,.,0,as_vs_was_test
I01,waoss,-.0038867078394146,.0009432850902898,-.0057355466163825,-.0020378690624466,384,1248,0,
I02,waoss,-.0037562584903173,.0010186803177899,-.0057528719131854,-.0017596450674491,383,1248,0,
I03,waoss,-.003861481050216,.0009432026493909,-.0057101582430222,-.0020128038574098,380,1241,0,
J01,aoss,-.00077,.0034146,-.0074625,.0059226,199,808,0,by_baseline_level1
J01,waoss,-.0042993,.0012794,-.006807,-.0017917,199,808,0,by_baseline_level1
J02,aoss,-.0004791,.0043138,-.0089342,.007976,120,621,0,by_baseline_level1
J02,waoss,-.0062656,.0021432,-.0104664,-.0020648,120,621,0,by_baseline_level1
K01,waoss,-.0030943869359137,.0011281437026878,-.0053055485931818,-.0008832252786457,178,881,0,
K02,waoss,-.0029436630830653,.0011655135447977,-.0052280696308688,-.0006592565352617,178,881,0,
L01,waoss,.0261225955581199,.0224861778875247,-.0179503131014286,.0701955042176684,508,3307,0,
L01,waoss,.0993211122629372,.0321640481214604,.0362795779448748,.1623626465809996,247,2595,1,
L02,waoss,.0093225745869101,.0110355113455584,-.0123070276503843,.0309521768242046,317,2105,0,
L02,waoss,.0999466468489206,.037317111363028,.0268051085773858,.1730881851204554,164,1576,1,
L03,waoss,.,.,.,.,.,.,0,SKIP_seed_dependent
L04,ivwaoss,.,.,.,.,.,.,0,SKIP_seed_dependent
